region,maa,maa_status,country,reserve
Antique,Caluya,proposed,Philippines,Bacong Marine Fish Sanctuary
Antique,Caluya,proposed,Philippines,Bacong MS Buffer Zone
Antique,Libertad,established,Philippines,Barusbus Marine Sanctuary
Antique,Culasi,established,Philippines,Batbatan Island Marine Sanctuary
Antique,Culasi,established,Philippines,Batonan Sur Marine Sanctuary
Antique,Libertad,established,Philippines,Bulanao Marine Sanctuary
Antique,Caluya,proposed,Philippines,Dawis Fish Marine Sanctuary
Antique,Caluya,proposed,Philippines,Dawis MS Buffer Zone
Antique,Caluya,proposed,Philippines,Dionela Marine FIsh Sanctuary
Antique,Caluya,proposed,Philippines,Dionela MS Buffer Zone
Antique,Caluya,proposed,Philippines,Harigue Marine Fish Sanctuary
Antique,Caluya,proposed,Philippines,Harique MS Buffer Zone
Antique,Caluya,proposed,Philippines,Hininga-an Marine Fish Sanctuary
Antique,Caluya,proposed,Philippines,Hininga-an MS Buffer Zone
Antique,Pandan,proposed,Philippines,Idiacacan Marine Sanctuary
Antique,Sebaste,proposed,Philippines,Idio Marine Sanctuary
Antique,Culasi,established,Philippines,Lipata Marine Sanctuary
Antique,Pandan,proposed,Philippines,Mag-aba Marine Sanctuary
Antique,Culasi,established,Philippines,Malalison Marine Sanctuary
Antique,Caluya,proposed,Philippines,Masanag Marine Fish Sanctuary
Antique,Caluya,proposed,Philippines,Masanag MS Buffer Zone
Antique,Culasi,established,Philippines,Naba Marine Sanctuary
Antique,Libertad,established,Philippines,Pajo Marine Sanctuary
Antique,Pandan,proposed,Philippines,Patria Marine Sanctuary
Antique,Caluya,proposed,Philippines,Poblacion Marine Fish Sanctuary
Antique,Caluya,proposed,Philippines,Poblacion MS Buffer Zone
Antique,Libertad,established,Philippines,Pucio Marine Sanctuary
Antique,Caluya,proposed,Philippines,Sabang Fish Marine Sanctuary
Antique,Caluya,proposed,Philippines,Sabang MS Buffer Zone
Antique,Libertad,established,Philippines,San Roque Marine Sanctuary
Antique,Libertad,established,Philippines,Taboc Marine Sanctuary
Antique,Pandan,proposed,Philippines,Tingib Marine Sanctuary
Antique,Libertad,established,Philippines,Tinigbas Marine Sanctuary
Antique,Libertad,established,Philippines,Union Marine Sanctuary
Camarines Norte,Mercedes,established,Philippines,Apuao Marine Sanctuary
Camarines Norte,Mercedes,established,Philippines,Apuao MPA Buffer Zone
Camarines Norte,Mercedes,established,Philippines,Canimog Marine Sanctuary
Camarines Norte,Mercedes,established,Philippines,Canimog MPA Buffer Zone
Camarines Norte,Mercedes,established,Philippines,Caringo Marine Sanctuary
Camarines Norte,Mercedes,established,Philippines,Caringo MPA Buffer Zone
Camarines Norte,Mercedes,established,Philippines,Qunapagiuan Marine Sanctuary
Camarines Norte,Mercedes,established,Philippines,Qunapagiuan MPA Buffer Zone
Camarines Sur,Tinambac,established,Philippines,Agcawayan Marine Sanctuary
Camarines Sur,Tinambac,established,Philippines,Agcawayan MPA Buffer Zone
Camarines Sur,Tinambac,established,Philippines,Caloco Marine Sanctuary
Camarines Sur,Tinambac,established,Philippines,Caloco MPA Buffer Zone
Camarines Sur,Caramoan,established,Philippines,Colongcogon Marine Sanctuary
Camarines Sur,Caramoan,established,Philippines,Colongcogon MPA  Buffer Zone
Camarines Sur,Caramoan,established,Philippines,Daraga Marine Sanctuary
Camarines Sur,Caramoan,established,Philippines,Gata Marine Sanctuary
Camarines Sur,Caramoan,established,Philippines,Gata MPA Buffer Zone
Camarines Sur,Caramoan,established,Philippines,Gibgos Marine Sanctuary
Camarines Sur,Caramoan,established,Philippines,Gibgos MPA Buffer Zone
Camarines Sur,Caramoan,established,Philippines,Giuhoan Marine Sanctuary
Camarines Sur,Caramoan,established,Philippines,Guihoan Turtle Sanctuary
Camarines Sur,Caramoan,established,Philippines,Paniman Marine Sanctuary
Camarines Sur,Caramoan,established,Philippines,Paniman MPA Buffer Zone
Camarines Sur,Tinambac,established,Philippines,San Antonio Marine Sanctuary
Camarines Sur,Tinambac,established,Philippines,San Antonio MPA Buffer Zone
Camarines Sur,Caramoan,established,Philippines,San Vicente Marine Sanctiary
Camarines Sur,Caramoan,established,Philippines,San Vicente MPA Buffer Zone
Cebu,San Remigio,established,Philippines,Anapog Fish Sanctuary
Cebu,San Remigio,established,Philippines,Bancasan Fish Sanctuary
Cebu,Bantayan,established,Philippines,Baod Fish Sanctuary
Cebu,Badian,Established,Philippines,Bato Marine Sanctuary
Cebu,San Remigio,established,Philippines,Biasong - Mano Fish Sanctuary
Cebu,Aloguinsan,established,Philippines,Bonbon Marine Sanctuary
Cebu,Aloguinsan,established,Philippines,Bonbon MPA Buffer Zone
Cebu,Bantayan,established,Philippines,Botigues Fish Sanctuary
Cebu,San Remigio,established,Philippines,Busogon Fish Sanctuary
Cebu,Pilar,proposed,Philippines,Cawit Marine Sanctuary 1
Cebu,Pilar,proposed,Philippines,Cawit Marine Sanctuary 2
Cebu,San Francisco,proposed,Philippines,Consuelo Marine Sanctuary 1
Cebu,San Francisco,proposed,Philippines,Consuelo Marine Sanctuary 2
Cebu,Santa Fe,established,Philippines,Dakung Baybay Fish Sanctuary
Cebu,Pilar,proposed,Philippines,DapDap Esperanza Marine Sanctuary 1
Cebu,Pilar,proposed,Philippines,DapDap Esperanza Marine Sanctuary 2
Cebu,Bantayan,established,Philippines,Doong Marine Sanctuary
Cebu,Poro,proposed,Philippines,"Esperanza, Poro Marine Sanctuary 1"
Cebu,Poro,proposed,Philippines,"Esperanza, Poro Marine Sanctuary 2"
Cebu,Bantayan,established,Philippines,Giuwanon Marine Sanctuary
Cebu,Santa Fe,established,Philippines,Hagdan Marine Sanctuary
Cebu,Badian,Established,Philippines,Hinalblan Marine Sanctuary
Cebu,Aloguinsan,established,Philippines,Kantabogon Marine Sanctuary
Cebu,Aloguinsan,established,Philippines,Kantabogon MPA  Buffer Zone
Cebu,San Remigio,established,Philippines,Kinawahan FIsh Sanctuary
Cebu,Badian,Established,Philippines,Lambug FIsh Sanctuary
Cebu,Santa Fe,established,Philippines,Langub Marine Sanctuary
Cebu,Poro,proposed,Philippines,Libertad Marine Sanctuary 1
Cebu,Tudela,proposed,Philippines,Libertad Marine Sanctuary 2
Cebu,Poro,proposed,Philippines,Libertad Marine Sanctuary 2
Cebu,San Remigio,established,Philippines,Luyang Fish Sanctuary
Cebu,Bantayan,established,Philippines,Luyong Marine Sanctuary
Cebu,Badian,Established,Philippines,Madredijos Marine Sanctuary
Cebu,Santa Fe,established,Philippines,Marikaban Marine Sanctuary
Cebu,Badian,Established,Philippines,Matutinao Marine Sanctuary
Cebu,Santa Fe,established,Philippines,Okoy Marine Sanctuary
Cebu,Bantayan,established,Philippines,Patao Fish Sanctuary
Cebu,Pilar,proposed,Philippines,Pilar Municipal Marine Park 1
Cebu,Pilar,proposed,Philippines,Pilar Municipal Marine Park 2
Cebu,Tudela,proposed,Philippines,Puertobello Fish Sanctuary 1
Cebu,Tudela,proposed,Philippines,Puertobello Fish Sanctuary 2
Cebu,San Francisco,proposed,Philippines,San Isidro Marine Sanctuary 1
Cebu,San Francisco,proposed,Philippines,San Isidro Marine Sanctuary 2
Cebu,San Francisco,proposed,Philippines,Santiago Marine Sanctuary 1
Cebu,San Francisco,proposed,Philippines,Santiago Marine Sanctuary 2
Cebu,Bantayan,established,Philippines,Sillon Marine Sanctary
Cebu,Bantayan,established,Philippines,Sulangan Fish Sanctuary
Cebu,Santa Fe,established,Philippines,Talisay Marine Sanctuary
Cebu,San Remigio,established,Philippines,Tambogon Fish Sanctuary
Cebu,San Francisco,proposed,Philippines,Unidos Marine Sanctuary 1
Cebu,San Francisco,proposed,Philippines,Unidos Marine Sanctuary 2
Cebu,San Francisco,proposed,Philippines,Union Marine Sanctuary 2
Cebu,San Francisco,proposed,Philippines,Union Marine Sanctuary1
Cebu,San Remigio,established,Philippines,Victoria Fish and Seagrass Sanctuary
Cebu,Tudela,proposed,Philippines,Villahermosa Fish Sanctuary 1
Cebu,Tudela,proposed,Philippines,Villahermosa Fish Sanctuary 2
Cebu,Santa Fe,established,Philippines,Virgin Islabd
Cebu,Badian,Established,Philippines,Zaragosa Fish Sanctuary
Negros Occidental,San Carlos City,established,Philippines,Ermita Marine Sanctuary
Negros Occidental,City of Escalante,proposed,Philippines,Escalante Marine Park
Negros Occidental,San Carlos City,established,Philippines,St. John Marine Sanctuary
Negros Oriental,Ayungon,established,Philippines,Awa-an Marine Sanctuary
Negros Oriental,Bindoy (Payabon),established,Philippines,Balaas Marine Sanctuary
Negros Oriental,Amlan (Ayuquitan),established,Philippines,Bi-os Marine Sanctuary
Negros Oriental,Amlan (Ayuquitan),established,Philippines,Bi-os MPA Biffer Zone
Negros Oriental,Manjuyod,established,Philippines,Bolisong Marine Sanctuary
Negros Oriental,Bindoy (Payabon),established,Philippines,Cabuga Marine Sanctuary
Negros Oriental,Bindoy (Payabon),established,Philippines,Cabuga MPA Buffer Zone
Negros Oriental,Tayasan,established,Philippines,Cabulotan Marine Sanctuary
Negros Oriental,Ayungon,established,Philippines,Calagcalag Marine Sanctuary
Negros Oriental,Bais City,established,Philippines,Capinahan Mangrove Reserve
Negros Oriental,Bais City,established,Philippines,Capinahan Marine Sanctuary
Negros Oriental,Ayungon,established,Philippines,Iniban Marine Sanctuary
Negros Oriental,Bindoy (Payabon),established,Philippines,Malaga Marine Sanctuary
Negros Oriental,Bindoy (Payabon),established,Philippines,Malaga MPA Buffer Zone
Negros Oriental,Bindoy (Payabon),established,Philippines,Mantalip Marine Sanctuary
Negros Oriental,Bindoy (Payabon),established,Philippines,Mantalip MPA Buffer Zone
Negros Oriental,La Libertad,established,Philippines,Martilo Marine
Negros Oriental,Bindoy (Payabon),established,Philippines,Pangalacay MPA Buffer Zone
Negros Oriental,Bindoy (Payabon),established,Philippines,Pangalaycay Marine Sanctuary
Negros Oriental,La Libertad,established,Philippines,San Jose Marine Sanctuary
Negros Oriental,Ayungon,established,Philippines,Tampocon Marine Sanctuary
Negros Oriental,Amlan (Ayuquitan),established,Philippines,Tandayag Marine Sanctuary
Negros Oriental,San Jose,proposed,Philippines,Tandayan Marine Sanctuary
Negros Oriental,San Jose,proposed,Philippines,Tandayan MPA Buffer Zone
Negros Oriental,Amlan (Ayuquitan),established,Philippines,Tandayan MPA Buffer Zone
Negros Oriental,Bindoy (Payabon),established,Philippines,Tinaogan Mangrove Sanctuary
Negros Oriental,Bindoy (Payabon),established,Philippines,Tinaogan Marine Sanctary
Negros Oriental,Bindoy (Payabon),established,Philippines,Tinaogan MPA Buffer Zone
Negros Oriental,Bindoy (Payabon),established,Philippines,Tinaogan Seagrass Sanctuary
Occidental Mindoro,Looc,established,Philippines,Bahurang Aurora Marine Sanctuary
Occidental Mindoro,Lubang,established,Philippines,Bahurang Vigo Marine Sanctuary
Sorsogon,Gubat,established,Philippines,Ragnas Marine Sanctuary
Sorsogon,Gubat,established,Philippines,Ragnas MPA Buffer Zone
Sorsogon,Gubat,established,Philippines,Rizal Marine Sanctuary
Sorsogon,Gubat,established,Philippines,Rizal MPA Buffer Zone
Surigao del Norte,San Isidrio,proposed,Philippines,Baybay Marine Sanctuary
Surigao del Norte,San Benito,proposed,Philippines,Bongdo - Nueva Campo Marine Sanctuary
Surigao del Norte,Del Carmen,established,Philippines,Caub Marine Sanctuary
Surigao del Norte,Dapa,established,Philippines,Corrigedor Marine Sanctuary
Surigao del Norte,General Luna,proposed,Philippines,General Luna Marine Protected Area
Surigao del Norte,Dapa,established,Philippines,General Luna Marine Protected Area
Surigao del Norte,Del Carmen,established,Philippines,Halian Marine Sanctuary
Surigao del Norte,Santa Monica (Sapao),proposed,Philippines,Magsaysay Marine Sanctuary
Surigao del Norte,San Benito,proposed,Philippines,Magsaysay Marine Sanctuary
Surigao del Norte,San Benito,proposed,Philippines,Maribojoc Marine Sanctuary
Surigao del Norte,Socorro,proposed,Philippines,Pamosaingan Marine Protected Area
Surigao del Norte,Burgos,proposed,Philippines,Poblasion Marine Sanctuary 1
Surigao del Norte,Del Carmen,established,Philippines,San Fernando Marine Sanctuary
Surigao del Norte,San Isidrio,proposed,Philippines,Sta Paz Marine Sanctuary
Surigao del Norte,SDN_Pilar,proposed,Philippines,Sta Paz Marine Sanctuary
Surigao del Norte,San Isidrio,proposed,Philippines,Tigasao Marine Sanctuary
Surigao del Sur,Cantilan,established,Philippines,Ayoke Marine Sanctuary
Surigao del Sur,Cortes,established,Philippines,Balibadon Marine Sanctuary
Surigao del Sur,Cortes,established,Philippines,Balibadon MPA Buffer Zone
Surigao del Sur,Cortes,established,Philippines,Burgos Marine Sanctuary
Surigao del Sur,Cortes,established,Philippines,Burgos MPA Buffer Zone
Surigao del Sur,Cortes,established,Philippines,Capandan Marine Sanctuary
Surigao del Sur,Cantilan,established,Philippines,General Island Marine Sanctuary
Surigao del Sur,Cortes,established,Philippines,Poblasion Marine Sanctuary 2
Surigao del Sur,Cantilan,established,Philippines,San Pedro Manrine Sanctuary
Surigao del Sur,Cortes,established,Philippines,Tag-angonon Marine Sanctuary
Surigao del Sur,Cortes,established,Philippines,Tag-angonon MPA Biffer Zone
Surigao del Sur,Cortes,established,Philippines,Tigao Marine Sanctuary
Surigao del Sur,Cortes,established,Philippines,Tigao MPA Buffer Zone
Surigao del Sur,Cortes,established,Philippines,Uba Marine Sanctuary
Surigao del Sur,Cortes,established,Philippines,Uba MPA Buffer Zone
Zamboanga Sibugay,Ipil,established,Philippines,Buluan Island Marine Sanctuary
Zamboanga Sibugay,Ipil,established,Philippines,Buluan Island MPA Buffer Zone
Zamboanga Sibugay,Ipil,established,Philippines,Fishery Refuge
Zamboanga Sibugay,Ipil,established,Philippines,Sea Turtle Nesting Site
Zamboanga Sibugay,Siay,proposed,Philippines,Seagrass Conservation Area
Zamboanga Sibugay,Ipil,established,Philippines,Seahorse Conservation Area
Pohnpei,Kiti,proposed,FSM,Enipein Mangrove Reserve
Pohnpei,Kiti,proposed,FSM,Kehpara Marine Sanctuary
Pohnpei,Kiti,proposed,FSM,Nahtik Marine Sanctuary
Pohnpei,Kiti,proposed,FSM,Peniou Marine Sanctuary
Pohnpei,Kiti,proposed,FSM,Pwudoi Mangrove Reserve
Pohnpei,KoloniaNett,proposed,FSM,Sapwitik Marine Sanctuary
Pohnpei,Madolenihmw,proposed,FSM,Namwen Na Stingray Sanctuary
Pohnpei,Madolenihmw,proposed,FSM,Nangih Stingray Sanctuary
Pohnpei,Madolenihmw,proposed,FSM,Nanwap Marine Sanctuary
Pohnpei,Madolenihmw,proposed,FSM,Senpehn Mangrove Reserve
Pohnpei,Sokehs,proposed,FSM,Palikir Pass Marine Sanctuary
Pohnpei,U,proposed,FSM,Dehpehk Takaieu Marine Sanctuary
Pohnpei,U,proposed,FSM,Mwahnd Marine Sanctuary
Pohnpei,U,proposed,FSM,Nanwelinrohi
Atlántida,La Masica,Proposed,Honduras,Area de No Pesca - Boca Cerrada
Islas de la Bahía,Guanaja,Stregthened,Honduras,Area de No Pesca - Long Reef
Islas de la Bahía,Guanaja,Stregthened,Honduras,Area de No Pesca - Michael Rock
Atlántida,San Francisco,Proposed,Honduras,Area de No Pesca - Salado Barra 1
Atlántida,San Francisco,Proposed,Honduras,Area de No Pesca - Salado Barra 2
Atlántida,Esparta,Proposed,Honduras,Area de No Pesca - Thompson (La Rosita)
Islas de la Bahía,Roatan,Stregthened,Honduras,French Cay
Cortés,Omoa,Stregthened,Honduras,Pamuch
Islas de la Bahía,Utila,Stregthened,Honduras,Zona de Recuperacion Pesquera Old Bank
Islas de la Bahía,Utila,Stregthened,Honduras,Zona de Recuperacion Pesquera White Waters
Islas de la Bahía,Roatan,Stregthened,Honduras,Zona de Reserva - Banco Cordelia
Islas de la Bahía,Roatan,Stregthened,Honduras,Zona Restringida - Mud Hole- Crawfish Rock
Islas de la Bahía,Santos Guardiola,Stregthened,Honduras,Zona Restringida a la Pesca - Calabash Bight-New Port Royal
Islas de la Bahía,Santos Guardiola,Stregthened,Honduras,Zona Restringida a la Pesca - Coco View-Caribbean Point
Islas de la Bahía,Guanaja,Stregthened,Honduras,Zona Restringida a la Pesca - West End-Blue Rock Point
Colón,Trujillo,Proposed,Honduras,ZRP Bajo Calderon
Colón,Santa Fe,Proposed,Honduras,ZRP Cayo Blanco
Cortés,Puerto Cortes,Proposed,Honduras,ZRP La Ventana
Izabal,Puerto Barrios,Proposed,Guatemala,Corona Cayman
Izabal,Puerto Barrios,Proposed,Guatemala,Zona de recuperacion pesquera 1
Izabal,Puerto Barrios,Proposed,Guatemala,Zona de recuperacion pesquera 2
Izabal,Puerto Barrios,Proposed,Guatemala,Zona de recuperacion pesquera 3
Maputo,Machangulo,established,Mozambique,Machangulo
West Papua,All Villages in Batanta and Salawati Island,established,Indonesia,KPA Bersama Semua Kampung Batanta dan Salawati
West Papua,All Villages in Batanta Island,established,Indonesia,KPA Bersama Semua Kampung Batanta
West Papua,Amdui,established,Indonesia,KPA Amdui
West Papua,Shared Arefi and Yensawai,established,Indonesia,KPA Bersama Arefi dan Yensawai
West Papua,Wailebet,established,Indonesia,KPA Wailebet
West Papua,Wamega,established,Indonesia,KPA Wamega
West Papua,Yefman,established,Indonesia,KPA Yefman
West Papua,Yenanas,established,Indonesia,KPA Yenanas
West Papua,Go,established,Indonesia,KPA Go
West Papua,Kabilol,established,Indonesia,KPA Kabilol
West Papua,Kalitoko,established,Indonesia,KPA Kalitoko
West Papua,Lopintol,established,Indonesia,KPA Lopintol
West Papua,Mumes,established,Indonesia,KPA Mumes
West Papua,Shared Mumes and Yensner,established,Indonesia,KPA Bersama Mumes dan Yensner
West Papua,Waifoi,established,Indonesia,KPA Waifoi
West Papua,Warimak,established,Indonesia,KPA Warimak
West Papua,Warsambin,established,Indonesia,KPA Warsambin
West Papua,Wegalas,established,Indonesia,KPA Wegalas
West Papua,Yensner,established,Indonesia,KPA Yensner
SE Sulawesi,Teluk Kolono,proposed,Indonesia,Kolono Bay 1
SE Sulawesi,Teluk Kolono,proposed,Indonesia,Kolono Bay 2
SE Sulawesi,Wangi-Wangi Selatan,established,Indonesia,South Wangi-Wangi 1
SE Sulawesi,Wangi-Wangi Selatan,established,Indonesia,South Wangi-Wangi 2
SE Sulawesi,Wangi-Wangi Selatan,established,Indonesia,South Wangi-Wangi 3