country_full,ma_name,location_status,N,biomass_kg_ha,SD,SE,CI
Indonesia,Kapuntori,"Outside 
Reserve",9,158.0271573,267.2490814,89.08302712,205.4258289
Indonesia,Kapuntori,"Inside 
Reserve",6,240.6246721,130.6815495,53.35051918,137.1418755
Indonesia,Kulisusu,"Outside 
Reserve",18,230.4708518,135.7645308,32.00000679,67.51411281
Indonesia,Labengki,"Outside 
Reserve",18,224.2237619,240.1439841,56.60247988,119.4207938
Indonesia,Maginti,"Outside 
Reserve",18,75.54902414,106.7840543,25.16924297,53.1024609
Indonesia,Mataoleo,"Outside 
Reserve",18,68.31250481,56.0688512,13.21555497,27.88238374
Indonesia,Mawasangka,"Outside 
Reserve",15,186.7583857,118.8073121,30.67591609,65.79329646
Indonesia,Mawasangka,"Inside 
Reserve",3,330.2596284,124.5445354,71.90582105,309.3857772
Indonesia,Pasi Kolaga,"Outside 
Reserve",21,503.2753479,293.545065,64.05678477,133.6201116
Indonesia,Sagori,"Outside 
Reserve",18,310.4189249,291.2893545,68.65755929,144.8547881
Indonesia,Siompu,"Outside 
Reserve",9,553.7807217,1276.047955,425.3493184,980.857287
Indonesia,Siompu,"Inside 
Reserve",9,121.7704895,48.30991085,16.10330362,37.13428473
Indonesia,Talaga Raya,"Outside 
Reserve",9,277.5497841,427.4247921,142.4749307,328.5477794
Indonesia,Talaga Raya,"Inside 
Reserve",9,284.5824166,169.8614919,56.6204973,130.5671009
Indonesia,Teluk Moramo,"Outside 
Reserve",6,297.6429627,236.3214605,96.47783226,248.0041631
Indonesia,Teluk Moramo,"Inside 
Reserve",12,240.7682386,291.3104145,84.0940731,185.0898069
Indonesia,Tiworo Utara,"Outside 
Reserve",18,121.5043471,83.70894328,19.73038715,41.62747816
Indonesia,Wabula,"Outside 
Reserve",18,316.0969716,181.8219633,42.85584775,90.41793518
Indonesia,Wawonii,"Outside 
Reserve",6,113.4556076,124.4005749,50.78632205,130.550397
Indonesia,Wawonii,"Inside 
Reserve",12,487.2804302,502.3936046,145.0285414,319.2056675