country_full,ma_name,location_status,N,attribute,SD,SE,CI
Indonesia,Kapuntori,"Outside 
Reserve",9,9.333333333,2.549509757,0.849836586,1.959726681
Indonesia,Kapuntori,"Inside 
Reserve",6,11,1.897366596,0.774596669,1.991164128
Indonesia,Kulisusu,"Outside 
Reserve",18,10.27777778,1.487420015,0.35058826,0.739676572
Indonesia,Labengki,"Outside 
Reserve",18,13.5,2.975389248,0.701305971,1.479626263
Indonesia,Maginti,"Outside 
Reserve",18,10.11111111,3.14154119,0.74046836,1.56225168
Indonesia,Mataoleo,"Outside 
Reserve",18,9.555555556,1.789584974,0.421809224,0.889939671
Indonesia,Mawasangka,"Outside 
Reserve",15,13.06666667,1.751190072,0.452155332,0.969776737
Indonesia,Mawasangka,"Inside 
Reserve",3,12,1,0.577350269,2.484137712
Indonesia,Pasi Kolaga,"Outside 
Reserve",21,10.9047619,2.022492569,0.441344061,0.92062758
Indonesia,Sagori,"Outside 
Reserve",18,13.16666667,2.431412081,0.573089323,1.209112782
Indonesia,Siompu,"Outside 
Reserve",9,9.777777778,1.787300882,0.595766961,1.373841075
Indonesia,Siompu,"Inside 
Reserve",9,10.22222222,1.715938357,0.571979452,1.318986982
Indonesia,Talaga Raya,"Outside 
Reserve",9,11.33333333,0.866025404,0.288675135,0.665686054
Indonesia,Talaga Raya,"Inside 
Reserve",9,10.66666667,2.061552813,0.687184271,1.58464977
Indonesia,Teluk Moramo,"Outside 
Reserve",6,13.16666667,1.169045194,0.477260702,1.226837692
Indonesia,Teluk Moramo,"Inside 
Reserve",12,12.25,3.519426606,1.015970949,2.236136982
Indonesia,Tiworo Utara,"Outside 
Reserve",18,12.11111111,2.083235292,0.491023267,1.035968538
Indonesia,Wabula,"Outside 
Reserve",18,10.38888889,1.243282604,0.29304452,0.618269894
Indonesia,Wawonii,"Outside 
Reserve",6,12.66666667,3.141125064,1.282358937,3.296408591
Indonesia,Wawonii,"Inside 
Reserve",12,12.08333333,2.108783938,0.608753487,1.339857391