country_full,ma_name,location_status,N,density_ind_ha,SD,SE,CI
Indonesia,Kapuntori,"Outside 
Reserve",9,353.3333333,420.9513036,140.3171012,323.5718156
Indonesia,Kapuntori,"Inside 
Reserve",6,1200,764.8267778,312.2392245,802.6364789
Indonesia,Kulisusu,"Outside 
Reserve",18,881.1111111,667.8929897,157.4238874,332.1353699
Indonesia,Labengki,"Outside 
Reserve",18,1829.444444,1673.300621,394.4007386,832.1128223
Indonesia,Maginti,"Outside 
Reserve",18,873.3333333,1034.942454,243.9382757,514.6647741
Indonesia,Mataoleo,"Outside 
Reserve",18,271.1111111,253.9311831,59.85215384,126.2770065
Indonesia,Mawasangka,"Outside 
Reserve",15,1357.333333,752.2107101,194.2199702,416.5604066
Indonesia,Mawasangka,"Inside 
Reserve",3,2133.333333,320.8322511,185.2325865,796.9914941
Indonesia,Pasi Kolaga,"Outside 
Reserve",21,1753.809524,843.1576139,183.9920756,383.8007444
Indonesia,Sagori,"Outside 
Reserve",18,1952.222222,1687.209864,397.6791786,839.0297261
Indonesia,Siompu,"Outside 
Reserve",9,1476.666667,2794.190402,931.3968005,2147.804873
Indonesia,Siompu,"Inside 
Reserve",9,591.1111111,245.5832061,81.8610687,188.7719629
Indonesia,Talaga Raya,"Outside 
Reserve",9,1048.888889,1687.219936,562.4066452,1296.91205
Indonesia,Talaga Raya,"Inside 
Reserve",9,1414.444444,1109.494379,369.8314598,852.8328756
Indonesia,Teluk Moramo,"Outside 
Reserve",6,3221.666667,4824.281985,1969.504873,5062.773452
Indonesia,Teluk Moramo,"Inside 
Reserve",12,2183.333333,2059.017124,594.3870453,1308.237066
Indonesia,Tiworo Utara,"Outside 
Reserve",18,1244.444444,677.8358488,159.7674417,337.0798374
Indonesia,Wabula,"Outside 
Reserve",18,1859.444444,1199.717968,282.7762369,596.6057096
Indonesia,Wawonii,"Outside 
Reserve",6,1793.333333,2851.797094,1164.241288,2992.777508
Indonesia,Wawonii,"Inside 
Reserve",12,9010,12917.06834,3728.836442,8207.113674