country_full,ma_name,location_status,N,species,SD,SE,CI
Indonesia,Kapuntori,"Outside 
Reserve",3,6.666666667,7.234178138,4.176654695,17.97069473
Indonesia,Kapuntori,"Inside 
Reserve",2,14,2.828427125,2,25.41240947
Indonesia,Kulisusu,"Outside 
Reserve",6,9.166666667,2.714160398,1.108051343,2.848336654
Indonesia,Labengki,"Outside 
Reserve",6,15.5,2.34520788,0.957427108,2.461144732
Indonesia,Maginti,"Outside 
Reserve",6,8.166666667,3.250640962,1.327068616,3.411338478
Indonesia,Mataoleo,"Outside 
Reserve",6,7.833333333,1.471960144,0.600925213,1.544727436
Indonesia,Mawasangka,"Outside 
Reserve",5,11,2.738612788,1.224744871,3.400436903
Indonesia,Mawasangka,"Inside 
Reserve",1,21,NA,NA,NA
Indonesia,Pasi Kolaga,"Outside 
Reserve",7,12.71428571,4.990467103,1.886219269,4.615412282
Indonesia,Sagori,"Outside 
Reserve",6,14.5,4.679743583,1.910497317,4.911089701
Indonesia,Siompu,"Outside 
Reserve",3,14,1.732050808,1,4.30265273
Indonesia,Siompu,"Inside 
Reserve",3,7.333333333,2.081665999,1.201850425,5.171145013
Indonesia,Talaga Raya,"Outside 
Reserve",3,9.333333333,4.618802154,2.666666667,11.47374061
Indonesia,Talaga Raya,"Inside 
Reserve",3,12.33333333,4.509249753,2.603416559,11.20159736
Indonesia,Teluk Moramo,"Outside 
Reserve",2,14.5,0.707106781,0.5,6.353102368
Indonesia,Teluk Moramo,"Inside 
Reserve",4,12.25,6.184658438,3.092329219,9.841171698
Indonesia,Tiworo Utara,"Outside 
Reserve",6,12,3.687817783,1.505545305,3.870127415
Indonesia,Wabula,"Outside 
Reserve",6,12.16666667,2.401388487,0.980362745,2.520102664
Indonesia,Wawonii,"Outside 
Reserve",2,12.5,0.707106781,0.5,6.353102368
Indonesia,Wawonii,"Inside 
Reserve",4,15.75,4.425306016,2.212653008,7.04164939