country_full,ma_name,location_status,N,percentage,SD,SE,CI
Indonesia,Kapuntori,"Outside 
Reserve",9,55.33333333,22.95103484,7.650344945,17.64172708
Indonesia,Kapuntori,"Inside 
Reserve",6,62.83333333,8.30461719,3.390345771,8.715161255
Indonesia,Kulisusu,"Outside 
Reserve",18,49.05555556,6.707960348,1.581081417,3.335790203
Indonesia,Labengki,"Outside 
Reserve",18,19.11111111,15.43825992,3.638832759,7.67726604
Indonesia,Maginti,"Outside 
Reserve",18,10.61111111,7.904867368,1.863195107,3.930998061
Indonesia,Mataoleo,"Outside 
Reserve",18,6.722222222,4.482719179,1.056587043,2.229203803
Indonesia,Mawasangka,"Outside 
Reserve",15,29.66666667,13.12939269,3.389994615,7.270815323
Indonesia,Mawasangka,"Inside 
Reserve",3,38.66666667,1.527525232,0.881917104,3.794583034
Indonesia,Pasi Kolaga,"Outside 
Reserve",21,57.71428571,16.46251153,3.592414533,7.493645403
Indonesia,Sagori,"Outside 
Reserve",18,25.55555556,17.60421815,4.149354011,8.75437173
Indonesia,Siompu,"Outside 
Reserve",9,46.33333333,10.92016483,3.640054945,8.393981755
Indonesia,Siompu,"Inside 
Reserve",9,52.55555556,12.57090998,4.190303327,9.662856801
Indonesia,Talaga Raya,"Outside 
Reserve",9,13.11111111,8.268077837,2.756025946,6.355407227
Indonesia,Talaga Raya,"Inside 
Reserve",9,25.88888889,16.41222444,5.47074148,12.61555248
Indonesia,Teluk Moramo,"Outside 
Reserve",6,60.66666667,13.72103009,5.601587077,14.39933799
Indonesia,Teluk Moramo,"Inside 
Reserve",12,41.66666667,22.45534289,6.482299131,14.26744419
Indonesia,Tiworo Utara,"Outside 
Reserve",18,12.22222222,5.652230747,1.332243563,2.810788223
Indonesia,Wabula,"Outside 
Reserve",18,68.88888889,9.615483157,2.266391115,4.78166728
Indonesia,Wawonii,"Outside 
Reserve",6,23.83333333,21.13212405,8.627153515,22.17680412
Indonesia,Wawonii,"Inside 
Reserve",12,24.5,16.05954828,4.635992261,10.20375017