ma_name,gov_law,gov_practice
Melekeok,More top-down,More top-down
Ngiwal,More top-down,More top-down
Kitti,More top-down,More top-down
Kolonia-Nett,More top-down,More top-down
Madolenihmw,More top-down,True co-management
Sokehs,More top-down,True co-management
U,More top-down,True co-management
Burgos,True co-management,More top-down
Dapa,True co-management,More top-down
Del Carmen,True co-management,More top-down
General Luna,True co-management,More top-down
Pilar,True co-management,More top-down
San Benito,True co-management,More top-down
San Isidro,True co-management,More top-down
Santa Monica,True co-management,More top-down
Socorro,True co-management,More top-down
Pilar,True co-management,More top-down
Poro,True co-management,More top-down
San Francisco,True co-management,More top-down
Tudela,True co-management,More top-down
Culasi,True co-management,More top-down
Libertad,True co-management,More top-down
Pandan,True co-management,More top-down
Sebaste,True co-management,More top-down
Zavora,True co-management,More bottom-up
Fequete,True co-management,More bottom-up
Mucocuene,True co-management,More bottom-up
Nhagondzo,True co-management,More bottom-up
Petane,True co-management,More bottom-up
Tsondzo,True co-management,More bottom-up
Vuca,True co-management,More bottom-up
Pomene,True co-management,More bottom-up
Machangulo,True co-management,True co-management
Baixo Pinda,True co-management,More bottom-up
Memba,True co-management,More bottom-up
Serissa,True co-management,More bottom-up
Simuco,True co-management,More bottom-up
Farol,True co-management,More bottom-up
Sengo,True co-management,More bottom-up
Mataoleo,More top-down,More top-down
Sagori,More top-down,More top-down
Kapuntori,More top-down,More top-down
Siotapina - Lasel,More top-down,More top-down
Wabula,More top-down,More bottom-up
Siompu,More top-down,More bottom-up
Mawasangka,More top-down,More top-down
Talaga Raya,More top-down,More top-down
Kulisusu,More top-down,More top-down
Wawonii,More top-down,More top-down
Teluk Kolono,More top-down,More top-down
Teluk Moramo,More top-down,More top-down
Labengki,More top-down,More top-down
Teluk Lasolo,More top-down,More top-down
Pasi Kolaga,More top-down,More top-down
Maginti,More top-down,More top-down
Tiworo Utara,More top-down,More top-down
Binongko Makoro,More top-down,More top-down
Kaledupa,More top-down,More top-down
Tigo Binongko,More top-down,More bottom-up
Tomia,More top-down,More bottom-up
Wangi-Wangi Selatan,True co-management,True co-management
RESEX Caeté-Taperaçu,More top-down,True co-management
RESEX Mãe Grande de Curuça,More top-down,True co-management
RESEX Marinha Mocapajuba,More top-down,True co-management
RESEX São João da Ponta,More top-down,True co-management
RESEX Soure,More top-down,True co-management
RESEX Maracanã,True co-management,More top-down
RESEX Gurupi-Piriá,More top-down,True co-management
Iriona,More top-down,More bottom-up
Limon,More top-down,More bottom-up
Santa Fe,More top-down,More bottom-up
Santa Rosa de Aguan,More top-down,More top-down
Trujillo,More top-down,More top-down
Omoa,More top-down,True co-management
Puerto Cortes,More top-down,True co-management
Guanaja,More top-down,More bottom-up
Roatan,More top-down,More top-down